Milliseconds;Rssi;Signal_X;Signal_Y;Signal_Z;Position_X;Position_Y;Position_Z
400;-96;-4,3;-16,4;1,7;0,0;0,0;1,5
400;-97;-7,4;-15,8;4;0,0;0,0;1,5
400;-95;3,4;-15,8;4;0,0;0,0;1,5
400;-94;1;-15,7;5,1;0,0;0,0;1,5
400;-97;-11,3;-11,3;1,7;0,0;0,0;1,5
400;-89;7,5;-11,2;1,7;0,0;0,0;1,5
400;-92;-7,2;-11,9;5,1;0,0;0,0;1,5
400;-90;3,4;-11,9;5,1;0,0;0,0;1,5
400;-94;9,2;-11,7;4,2;0,0;0,0;1,5
450;-93;-0,1;-16,4;1,7;0,0;0,0;1,5
450;-98;7,3;-15,8;1,8;0,0;0,0;1,5
450;-97;1;-15,7;5,1;0,0;0,0;1,5
450;-97;7,3;-17,3;5,1;0,0;0,0;1,5
450;-87;0,2;-11,2;1,7;0,0;0,0;1,5
450;-97;-6,3;-14,5;-0,4;0,0;0,0;1,5
450;-61;3,5;-2,7;1,8;0,0;0,0;1,5
500;-97;-7,4;-15,8;4;0,0;0,0;1,5
500;-96;-5;-15,8;5,1;0,0;0,0;1,5
500;-96;-11,3;-11,3;1,7;0,0;0,0;1,5
500;-87;0,2;-11,2;1,7;0,0;0,0;1,5
500;-91;3,4;-11,9;5,1;0,0;0,0;1,5
550;-97;7,3;-15,8;1,8;0,0;0,0;1,5
550;-99;-11,5;-15,8;4;0,0;0,0;1,5
550;-99;7,2;-17,2;4,1;0,0;0,0;1,5
550;-86;0,2;-11,2;1,7;0,0;0,0;1,5
550;-93;-7,2;-11,9;5,1;0,0;0,0;1,5
550;-89;0,3;-11,9;5,1;0,0;0,0;1,5
550;-89;-11,3;-4,3;1,8;0,0;0,0;1,5
550;-61;3,5;-2,7;1,8;0,0;0,0;1,5
550;-90;-11,7;-4,3;4,1;0,0;0,0;1,5
600;-97;-4,3;-16,4;1,7;0,0;0,0;1,5
600;-97;-0,1;-16,4;1,7;0,0;0,0;1,5
600;-98;-5;-15,8;5,1;0,0;0,0;1,5
600;-86;0,2;-11,2;1,7;0,0;0,0;1,5
600;-95;-7,2;-11,9;5,1;0,0;0,0;1,5
600;-95;-6,3;-14,5;-0,4;0,0;0,0;1,5
650;-97;-0,1;-16,4;1,7;0,0;0,0;1,5
650;-98;-11,5;-15,8;4;0,0;0,0;1,5
650;-99;7,7;-15,7;4;0,0;0,0;1,5
650;-98;7,2;-17,2;4,1;0,0;0,0;1,5
650;-94;-6,3;-14,5;-0,4;0,0;0,0;1,5
650;-88;-11,3;-4,3;1,8;0,0;0,0;1,5
700;-95;-0,1;-16,4;1,7;0,0;0,0;1,5
700;-97;-7,3;-17,3;1,8;0,0;0,0;1,5
700;-91;7,5;-11,2;1,7;0,0;0,0;1,5
700;-92;-7,2;-11,9;5,1;0,0;0,0;1,5
700;-96;-6,3;-14,5;-0,4;0,0;0,0;1,5
700;-97;6,7;-14,5;-0,4;0,0;0,0;1,5
700;-60;3,5;-2,7;1,8;0,0;0,0;1,5
750;-97;3;-17,3;1,8;0,0;0,0;1,5
750;-98;-7,4;-15,8;4;0,0;0,0;1,5
750;-89;-4;-11,2;1,7;0,0;0,0;1,5
750;-85;0,2;-11,2;1,7;0,0;0,0;1,5
750;-91;7,5;-11,2;1,7;0,0;0,0;1,5
750;-90;0,3;-11,9;5,1;0,0;0,0;1,5
750;-95;9,2;-11,7;4,2;0,0;0,0;1,5
800;-99;-11,5;-15,8;4;0,0;0,0;1,5
800;-97;-11,3;-11,3;1,7;0,0;0,0;1,5
800;-98;-13,3;-11,7;4,1;0,0;0,0;1,5
800;-90;0,3;-11,9;5,1;0,0;0,0;1,5
800;-93;9,2;-11,7;4,2;0,0;0,0;1,5
800;-88;-11,3;-4,3;1,8;0,0;0,0;1,5
800;-57;0,5;-3,6;1,7;0,0;0,0;1,5
800;-68;3,4;-4,3;4,1;0,0;0,0;1,5
850;-99;7,3;-15,8;1,8;0,0;0,0;1,5
850;-98;1;-15,7;5,1;0,0;0,0;1,5
850;-90;7,5;-11,2;1,7;0,0;0,0;1,5
850;-64;-3,8;-3,7;1,7;0,0;0,0;1,5
850;-56;0,5;-3,6;1,7;0,0;0,0;1,5
850;-91;-11,7;-4,3;4,1;0,0;0,0;1,5
850;-79;-7,5;-4,3;4,1;0,0;0,0;1,5
900;-99;-7,4;-15,8;4;0,0;0,0;1,5
900;-99;7,3;-17,3;5,1;0,0;0,0;1,5
900;-87;-4;-11,2;1,7;0,0;0,0;1,5
900;-85;0,2;-11,2;1,7;0,0;0,0;1,5
900;-57;0,5;-3,6;1,7;0,0;0,0;1,5
900;-88;-11,1;-2,8;4;0,0;0,0;1,5
900;-81;7,7;-4,3;4;0,0;0,0;1,5
950;-99;7,7;-15,7;4;0,0;0,0;1,5
950;-95;1;-15,7;5,1;0,0;0,0;1,5
950;-95;-11,3;-11,3;1,7;0,0;0,0;1,5
950;-90;7,5;-11,2;1,7;0,0;0,0;1,5
950;-63;-3,8;-3,7;1,7;0,0;0,0;1,5
1000;-99;-11,3;-15,7;1,8;0,0;0,0;1,5
1000;-86;0,2;-11,2;1,7;0,0;0,0;1,5
1000;-94;9,2;-11,7;4,2;0,0;0,0;1,5
1000;-65;-3,8;-3,7;1,7;0,0;0,0;1,5
1000;-61;3,5;-2,7;1,8;0,0;0,0;1,5
1050;-97;3;-17,3;1,8;0,0;0,0;1,5
1050;-99;-7,4;-15,8;4;0,0;0,0;1,5
1050;-97;3,4;-15,8;4;0,0;0,0;1,5
1050;-96;-5;-15,8;5,1;0,0;0,0;1,5
1050;-97;1;-15,7;5,1;0,0;0,0;1,5
1050;-86;0,2;-11,2;1,7;0,0;0,0;1,5
1100;-95;-4,3;-16,4;1,7;0,1;0,0;1,5
1100;-98;7,3;-15,8;1,8;0,1;0,0;1,5
1100;-95;-11,3;-11,3;1,7;0,1;0,0;1,5
1100;-87;-4;-11,2;1,7;0,1;0,0;1,5
1100;-86;0,2;-11,2;1,7;0,1;0,0;1,5
1100;-98;-13,3;-11,7;4,1;0,1;0,0;1,5
1100;-56;0,5;-3,6;1,7;0,1;0,0;1,5
1150;-96;-4,3;-16,4;1,7;0,1;0,0;1,5
1150;-98;3;-17,3;1,8;0,1;0,0;1,5
1150;-98;-7,3;-17,3;1,8;0,1;0,0;1,5
1150;-97;3,4;-15,8;4;0,1;0,0;1,5
1150;-96;-11,3;-11,3;1,7;0,1;0,0;1,5
1150;-86;0,2;-11,2;1,7;0,1;0,0;1,5
1150;-96;-13,3;-11,7;4,1;0,1;0,0;1,5
1150;-93;-7,2;-11,9;5,1;0,1;0,0;1,5
1150;-90;3,4;-11,9;5,1;0,1;0,0;1,5
1200;-96;-4,3;-16,4;1,7;0,2;0,0;1,5
1200;-97;-0,1;-16,4;1,7;0,2;0,0;1,5
1200;-99;7,3;-17,3;5,1;0,2;0,0;1,5
1200;-88;-4;-11,2;1,7;0,2;0,0;1,5
1200;-92;-7,2;-11,9;5,1;0,2;0,0;1,5
1250;-96;-4,3;-16,4;1,7;0,2;0,0;1,5
1250;-98;-7,4;-15,8;4;0,2;0,0;1,5
1250;-98;7,7;-15,7;4;0,2;0,0;1,5
1250;-98;7,3;-17,3;5,1;0,2;0,0;1,5
1250;-97;-13,3;-11,7;4,1;0,2;0,0;1,5
1300;-96;-4,3;-16,4;1,7;0,3;0,0;1,5
1300;-97;-0,1;-16,4;1,7;0,3;0,0;1,5
1300;-97;-7,4;-15,8;4;0,3;0,0;1,5
1300;-98;-5;-15,8;5,1;0,3;0,0;1,5
1300;-96;1;-15,7;5,1;0,3;0,0;1,5
1300;-99;7,3;-17,3;5,1;0,3;0,0;1,5
1300;-92;9,2;-11,7;4,2;0,3;0,0;1,5
1300;-77;7,7;-4,3;4;0,3;0,0;1,5
1350;-98;-11,3;-15,7;1,8;0,3;0,0;1,5
1350;-99;-7,3;-17,3;1,8;0,3;0,0;1,5
1350;-97;1;-15,7;5,1;0,3;0,0;1,5
1350;-99;7,3;-17,3;5,1;0,3;0,0;1,5
1350;-95;9,2;-11,7;4,2;0,3;0,0;1,5
1350;-95;6,7;-14,5;-0,4;0,3;0,0;1,5
1350;-78;7,3;-4,3;1,8;0,3;0,0;1,5
1350;-90;-11,7;-4,3;4,1;0,3;0,0;1,5
1400;-96;-0,1;-16,4;1,7;0,4;0,0;1,5
1400;-98;7,3;-15,8;1,8;0,4;0,0;1,5
1400;-97;3;-17,3;1,8;0,4;0,0;1,5
1400;-99;-7,3;-17,3;1,8;0,4;0,0;1,5
1400;-98;7,7;-15,7;4;0,4;0,0;1,5
1400;-95;-5;-15,8;5,1;0,4;0,0;1,5
1400;-96;1;-15,7;5,1;0,4;0,0;1,5
1400;-86;0,2;-11,2;1,7;0,4;0,0;1,5
1400;-99;-11,8;-14,5;-0,4;0,4;0,0;1,5
1450;-99;7,2;-17,2;4,1;0,4;0,0;1,5
1450;-96;1;-15,7;5,1;0,4;0,0;1,5
1450;-92;7,5;-11,2;1,7;0,4;0,0;1,5
1450;-87;0,3;-11,9;5,1;0,4;0,0;1,5
1450;-88;3,4;-11,9;5,1;0,4;0,0;1,5
1450;-98;6,7;-14,5;-0,4;0,4;0,0;1,5
1450;-89;9,3;-8,3;4,1;0,4;0,0;1,5
1500;-97;-4,3;-16,4;1,7;0,5;0,0;1,5
1500;-97;-0,1;-16,4;1,7;0,5;0,0;1,5
1500;-99;-11,5;-15,8;4;0,5;0,0;1,5
1500;-98;3,4;-15,8;4;0,5;0,0;1,5
1500;-95;-11,3;-11,3;1,7;0,5;0,0;1,5
1550;-97;-0,1;-16,4;1,7;0,5;0,0;1,5
1550;-98;7,3;-15,8;1,8;0,5;0,0;1,5
1550;-99;3;-17,3;1,8;0,5;0,0;1,5
1550;-98;-7,3;-17,3;1,8;0,5;0,0;1,5
1550;-98;7,2;-17,2;4,1;0,5;0,0;1,5
1550;-96;1;-15,7;5,1;0,5;0,0;1,5
1550;-84;0,2;-11,2;1,7;0,5;0,0;1,5
1550;-92;-7,2;-11,9;5,1;0,5;0,0;1,5
1600;-99;7,3;-15,8;1,8;0,6;0,0;1,5
1600;-97;1;-15,7;5,1;0,6;0,0;1,5
1600;-86;0,2;-11,2;1,7;0,6;0,0;1,5
1600;-92;7,5;-11,2;1,7;0,6;0,0;1,5
1600;-92;-7,2;-11,9;5,1;0,6;0,0;1,5
1600;-76;-7;-2,8;1,8;0,6;0,0;1,5
1600;-56;0,5;-3,6;1,7;0,6;0,0;1,5
1600;-77;7,7;-4,3;4;0,6;0,0;1,5
1600;-96;-13,2;-8,4;4,1;0,6;0,0;1,5
1650;-98;-4,3;-16,4;1,7;0,6;0,0;1,5
1650;-97;3,4;-15,8;4;0,6;0,0;1,5
1650;-96;-7,2;-11,9;5,1;0,6;0,0;1,5
1650;-97;-6,3;-14,5;-0,4;0,6;0,0;1,5
1650;-57;3,5;-2,7;1,8;0,6;0,0;1,5
1700;-95;-4,3;-16,4;1,7;0,7;0,0;1,5
1700;-98;-0,1;-16,4;1,7;0,7;0,0;1,5
1700;-98;-7,4;-15,8;4;0,7;0,0;1,5
1700;-87;0,3;-11,9;5,1;0,7;0,0;1,5
1700;-94;9,2;-11,7;4,2;0,7;0,0;1,5
1700;-67;-3,8;-3,7;1,7;0,7;0,0;1,5
1700;-59;3,5;-2,7;1,8;0,7;0,0;1,5
1700;-80;-7,5;-4,3;4,1;0,7;0,0;1,5
1700;-75;7,5;-2,7;5,1;0,7;0,0;1,5
1750;-98;-0,1;-16,4;1,7;0,7;0,0;1,5
1750;-98;-7,4;-15,8;4;0,7;0,0;1,5
1750;-98;7,7;-15,7;4;0,7;0,0;1,5
1750;-97;-5;-15,8;5,1;0,7;0,0;1,5
1750;-97;1;-15,7;5,1;0,7;0,0;1,5
1750;-87;0,2;-11,2;1,7;0,7;0,0;1,5
1750;-93;-7,2;-11,9;5,1;0,7;0,0;1,5
1800;-99;-4,3;-16,4;1,7;0,8;0,0;1,5
1800;-99;-7,3;-17,3;1,8;0,8;0,0;1,5
1800;-94;3,4;-15,8;4;0,8;0,0;1,5
1800;-99;7,3;-17,3;5,1;0,8;0,0;1,5
1800;-97;-11,3;-11,3;1,7;0,8;0,0;1,5
1800;-94;-7,2;-11,9;5,1;0,8;0,0;1,5
1800;-91;3,4;-11,9;5,1;0,8;0,0;1,5
1800;-93;9,2;-11,7;4,2;0,8;0,0;1,5
1850;-99;-11,3;-15,7;1,8;0,8;0,0;1,5
1850;-98;3;-17,3;1,8;0,8;0,0;1,5
1850;-97;3,4;-15,8;4;0,8;0,0;1,5
1850;-95;1;-15,7;5,1;0,8;0,0;1,5
1850;-96;-6,3;-14,5;-0,4;0,8;0,0;1,5
1850;-94;6,7;-14,5;-0,4;0,8;0,0;1,5
1850;-78;0,3;-8,2;5,1;0,8;0,0;1,5
1900;-98;-4,3;-16,4;1,7;0,9;0,0;1,5
1900;-98;-7,3;-17,3;1,8;0,9;0,0;1,5
1900;-96;1;-15,7;5,1;0,9;0,0;1,5
1900;-95;-11,3;-11,3;1,7;0,9;0,0;1,5
1900;-90;-4;-11,2;1,7;0,9;0,0;1,5
1950;-99;-5;-15,8;5,1;0,9;0,0;1,5
1950;-99;7,3;-17,3;5,1;0,9;0,0;1,5
1950;-88;7,5;-11,2;1,7;0,9;0,0;1,5
1950;-99;-6,3;-14,5;-0,4;0,9;0,0;1,5
1950;-90;-11,3;-4,3;1,8;0,9;0,0;1,5
1950;-57;0,5;-3,6;1,7;0,9;0,0;1,5
1950;-57;3,5;-2,7;1,8;0,9;0,0;1,5
1950;-91;-11,7;-4,3;4,1;0,9;0,0;1,5
1950;-73;-5;-4,3;5,1;0,9;0,0;1,5
2000;-97;7,3;-15,8;1,8;1,0;0,0;1,5
2000;-99;-7,4;-15,8;4;1,0;0,0;1,5
2000;-99;-5;-15,8;5,1;1,0;0,0;1,5
2000;-96;1;-15,7;5,1;1,0;0,0;1,5
2000;-99;7,3;-17,3;5,1;1,0;0,0;1,5
2000;-86;0,2;-11,2;1,7;1,0;0,0;1,5
2050;-97;7,7;-15,7;4;1,0;0,0;1,5
2050;-99;7,2;-17,2;4,1;1,0;0,0;1,5
2050;-98;3,4;-15,8;4;1,0;0,0;1,5
2050;-97;-5;-15,8;5,1;1,0;0,0;1,5
2050;-99;7,3;-17,3;5,1;1,0;0,0;1,5
2050;-97;-11,3;-11,3;1,7;1,0;0,0;1,5
2050;-96;-13,3;-11,7;4,1;1,0;0,0;1,5
2050;-93;-7,2;-11,9;5,1;1,0;0,0;1,5
2100;-98;7,3;-15,8;1,8;1,1;0,0;1,5
2100;-98;3;-17,3;1,8;1,1;0,0;1,5
2100;-98;7,7;-15,7;4;1,1;0,0;1,5
2100;-97;7,3;-17,3;5,1;1,1;0,0;1,5
2100;-86;0,2;-11,2;1,7;1,1;0,0;1,5
2100;-93;6,7;-14,5;-0,4;1,1;0,0;1,5
2150;-99;-7,4;-15,8;4;1,1;0,0;1,5
2150;-95;3,4;-15,8;4;1,1;0,0;1,5
2150;-88;-4;-11,2;1,7;1,1;0,0;1,5
2150;-96;-6,3;-14,5;-0,4;1,1;0,0;1,5
2150;-89;-11,3;-4,3;1,8;1,1;0,0;1,5
2150;-73;7,3;-4,3;1,8;1,1;0,0;1,5
2200;-98;-5;-15,8;5,1;1,2;0,0;1,5
2200;-98;7,3;-17,3;5,1;1,2;0,0;1,5
2200;-96;-7,2;-11,9;5,1;1,2;0,0;1,5
2200;-99;-11,8;-14,5;-0,4;1,2;0,0;1,5
2200;-94;6,7;-14,5;-0,4;1,2;0,0;1,5
2250;-97;-4,3;-16,4;1,7;1,2;0,0;1,5
2250;-99;7,2;-17,2;4,1;1,2;0,0;1,5
2250;-97;1;-15,7;5,1;1,2;0,0;1,5
2250;-95;-11,3;-11,3;1,7;1,2;0,0;1,5
2250;-94;-7,2;-11,9;5,1;1,2;0,0;1,5
2250;-92;3,4;-11,9;5,1;1,2;0,0;1,5
2300;-89;-4;-11,2;1,7;1,3;0,0;1,5
2300;-85;0,2;-11,2;1,7;1,3;0,0;1,5
2300;-98;-13,3;-11,7;4,1;1,3;0,0;1,5
2300;-94;-7,2;-11,9;5,1;1,3;0,0;1,5
2300;-56;0,5;-3,6;1,7;1,3;0,0;1,5
2300;-73;7,3;-4,3;1,8;1,3;0,0;1,5
2300;-91;-11,1;-2,8;4;1,3;0,0;1,5
2300;-80;-7,5;-4,3;4,1;1,3;0,0;1,5
2300;-74;7,4;-2,8;4;1,3;0,0;1,5
2350;-97;-0,1;-16,4;1,7;1,3;0,0;1,5
2350;-95;-7,2;-11,9;5,1;1,3;0,0;1,5
2350;-96;-6,3;-14,5;-0,4;1,3;0,0;1,5
2350;-56;3,5;-2,7;1,8;1,3;0,0;1,5
2350;-64;3,4;-4,3;4,1;1,3;0,0;1,5
2350;-75;-5;-4,3;5,1;1,3;0,0;1,5
2350;-66;1;-4,3;5,1;1,3;0,0;1,5
2350;-84;-4;-8,9;1,7;1,3;0,0;1,5
2400;-89;-4;-11,2;1,7;1,4;0,0;1,5
2400;-89;3,4;-11,9;5,1;1,4;0,0;1,5
2400;-92;9,2;-11,7;4,2;1,4;0,0;1,5
2400;-78;-7;-2,8;1,8;1,4;0,0;1,5
2400;-91;-11,1;-2,8;4;1,4;0,0;1,5
2400;-64;3,4;-4,3;4,1;1,4;0,0;1,5
2400;-66;1;-4,3;5,1;1,4;0,0;1,5
2450;-96;-0,1;-16,4;1,7;1,4;0,0;1,5
2450;-97;7,3;-15,8;1,8;1,4;0,0;1,5
2450;-97;7,7;-15,7;4;1,4;0,0;1,5
2450;-99;-5;-15,8;5,1;1,4;0,0;1,5
2450;-99;7,3;-17,3;5,1;1,4;0,0;1,5
2450;-97;-11,3;-11,3;1,7;1,4;0,0;1,5
2450;-90;-4;-11,2;1,7;1,4;0,0;1,5
2500;-99;-7,4;-15,8;4;1,5;0,0;1,5
2500;-99;7,7;-15,7;4;1,5;0,0;1,5
2500;-88;-4;-11,2;1,7;1,5;0,0;1,5
2500;-95;9,2;-11,7;4,2;1,5;0,0;1,5
2500;-95;6,7;-14,5;-0,4;1,5;0,0;1,5
2500;-94;-11,7;-4,3;4,1;1,5;0,0;1,5
2500;-72;7,4;-2,8;4;1,5;0,0;1,5
2500;-65;3,4;-4,3;4,1;1,5;0,0;1,5
2550;-97;-4,3;-16,4;1,7;1,5;0,0;1,5
2550;-96;-0,1;-16,4;1,7;1,5;0,0;1,5
2550;-97;-7,4;-15,8;4;1,5;0,0;1,5
2550;-93;9,2;-11,7;4,2;1,5;0,0;1,5
2550;-99;-11,8;-14,5;-0,4;1,5;0,0;1,5
2550;-70;-3,8;-3,7;1,7;1,5;0,0;1,5
2550;-90;-11,1;-2,8;4;1,5;0,0;1,5
2550;-66;1;-4,3;5,1;1,5;0,0;1,5
2600;-97;-7,4;-15,8;4;1,6;0,0;1,5
2600;-96;7,7;-15,7;4;1,6;0,0;1,5
2600;-97;3,4;-15,8;4;1,6;0,0;1,5
2600;-87;0,2;-11,2;1,7;1,6;0,0;1,5
2600;-99;-13,3;-11,7;4,1;1,6;0,0;1,5
2650;-96;-0,1;-16,4;1,7;1,6;0,0;1,5
2650;-96;3;-17,3;1,8;1,6;0,0;1,5
2650;-98;-7,4;-15,8;4;1,6;0,0;1,5
2650;-97;7,7;-15,7;4;1,6;0,0;1,5
2650;-96;1;-15,7;5,1;1,6;0,0;1,5
2650;-96;-11,3;-11,3;1,7;1,6;0,0;1,5
2650;-90;-4;-11,2;1,7;1,6;0,0;1,5
2650;-86;0,2;-11,2;1,7;1,6;0,0;1,5
2650;-80;-7;-2,8;1,8;1,6;0,0;1,5
2700;-98;-4,3;-16,4;1,7;1,7;0,0;1,5
2700;-90;7,5;-11,2;1,7;1,7;0,0;1,5
2700;-96;-7,2;-11,9;5,1;1,7;0,0;1,5
2700;-89;0,3;-11,9;5,1;1,7;0,0;1,5
2700;-99;-11,8;-14,5;-0,4;1,7;0,0;1,5
2700;-81;-7;-2,8;1,8;1,7;0,0;1,5
2700;-58;0,5;-3,6;1,7;1,7;0,0;1,5
2750;-97;-4,3;-16,4;1,7;1,7;0,0;1,5
2750;-96;3;-17,3;1,8;1,7;0,0;1,5
2750;-97;-7,4;-15,8;4;1,7;0,0;1,5
2750;-98;-11,3;-11,3;1,7;1,7;0,0;1,5
2750;-90;3,4;-11,9;5,1;1,7;0,0;1,5
2750;-64;3,4;-4,3;4,1;1,7;0,0;1,5
2750;-73;7,5;-2,7;5,1;1,7;0,0;1,5
2800;-94;1;-15,7;5,1;1,8;0,0;1,5
2800;-91;0,3;-11,9;5,1;1,8;0,0;1,5
2800;-93;9,2;-11,7;4,2;1,8;0,0;1,5
2800;-90;-11,1;-2,8;4;1,8;0,0;1,5
2800;-95;-11,3;-8,9;1,7;1,8;0,0;1,5
2850;-99;7,2;-17,2;4,1;1,8;0,0;1,5
2850;-91;-4;-11,2;1,7;1,8;0,0;1,5
2850;-88;0,3;-11,9;5,1;1,8;0,0;1,5
2850;-89;3,4;-11,9;5,1;1,8;0,0;1,5
2850;-96;-6,3;-14,5;-0,4;1,8;0,0;1,5
2850;-54;3,5;-2,7;1,8;1,8;0,0;1,5
2900;-95;-0,1;-16,4;1,7;1,9;0,0;1,5
2900;-95;7,3;-15,8;1,8;1,9;0,0;1,5
2900;-99;-7,4;-15,8;4;1,9;0,0;1,5
2900;-96;-11,3;-11,3;1,7;1,9;0,0;1,5
2900;-90;-4;-11,2;1,7;1,9;0,0;1,5
2900;-85;0,2;-11,2;1,7;1,9;0,0;1,5
2900;-99;-13,3;-11,7;4,1;1,9;0,0;1,5
2950;-96;-0,1;-16,4;1,7;1,9;0,0;1,5
2950;-95;7,3;-15,8;1,8;1,9;0,0;1,5
2950;-98;7,2;-17,2;4,1;1,9;0,0;1,5
2950;-96;1;-15,7;5,1;1,9;0,0;1,5
2950;-98;7,3;-17,3;5,1;1,9;0,0;1,5
2950;-91;7,5;-11,2;1,7;1,9;0,0;1,5
2950;-78;-7;-2,8;1,8;1,9;0,0;1,5
3000;-98;-0,1;-16,4;1,7;2,0;0,0;1,5
3000;-97;7,7;-15,7;4;2,0;0,0;1,5
3000;-99;7,3;-17,3;5,1;2,0;0,0;1,5
3000;-90;7,5;-11,2;1,7;2,0;0,0;1,5
3000;-99;-13,3;-11,7;4,1;2,0;0,0;1,5
3000;-92;9,2;-11,7;4,2;2,0;0,0;1,5
3000;-80;-7;-2,8;1,8;2,0;0,0;1,5
3050;-96;7,3;-15,8;1,8;2,0;0,0;1,5
3050;-99;7,3;-17,3;5,1;2,0;0,0;1,5
3050;-88;-4;-11,2;1,7;2,0;0,0;1,5
3050;-81;-7;-2,8;1,8;2,0;0,0;1,5
3050;-52;3,5;-2,7;1,8;2,0;0,0;1,5
3100;-97;3;-17,3;1,8;2,1;0,0;1,5
3100;-97;-5;-15,8;5,1;2,1;0,0;1,5
3100;-91;-4;-11,2;1,7;2,1;0,0;1,5
3100;-87;0,2;-11,2;1,7;2,1;0,0;1,5
3100;-88;3,4;-11,9;5,1;2,1;0,0;1,5
3150;-95;-0,1;-16,4;1,7;2,1;0,0;1,5
3150;-98;7,3;-15,8;1,8;2,1;0,0;1,5
3150;-98;-7,3;-17,3;1,8;2,1;0,0;1,5
3150;-97;-5;-15,8;5,1;2,1;0,0;1,5
3150;-99;-13,3;-11,7;4,1;2,1;0,0;1,5
3200;-97;-4,3;-16,4;1,7;2,2;0,0;1,5
3200;-95;-0,1;-16,4;1,7;2,2;0,0;1,5
3200;-97;3;-17,3;1,8;2,2;0,0;1,5
3200;-98;7,2;-17,2;4,1;2,2;0,0;1,5
3200;-88;7,5;-11,2;1,7;2,2;0,0;1,5
3250;-98;-7,4;-15,8;4;2,2;0,0;1,5
3250;-99;7,2;-17,2;4,1;2,2;0,0;1,5
3250;-96;-5;-15,8;5,1;2,2;0,0;1,5
3250;-96;-11,3;-11,3;1,7;2,2;0,0;1,5
3250;-95;9,2;-11,7;4,2;2,2;0,0;1,5
3300;-99;7,2;-17,2;4,1;2,3;0,0;1,5
